type,date(yyyyMMddHHmmss),author,latitude,longitude, location,major_event,sentiment,message
ccdata,2.01401E+13,,,, N. Polvo St / Egeou Ave,pok_rally,neutral,TRAFFIC STOP
mbdata,2.01401E+13,dealsRUs101,,,,spam,neutral,Easy credit cards! get what you're worth! easycredit.kronos/morecredit #abila #nobanks
mbdata,2.01401E+13,FriendsOfKronos,,,,hit_and_run,negative,APD stop the terrorists before they cut the hostages head off! #POK
mbdata,2.01401E+13,megaMan,,,,hit_and_run,neutral,@ben I don't see anyone from the van. who said that? #TAG
mbdata,2.01401E+13,prettyRain,,,,fire,positive,Is anyone going to help us??!!???
mbdata,2.01401E+13,roger_roger,,,,chatter,neutral,don't want to be seen
mbdata,2.01401E+13,maskedWoman101,,,,spam,neutral,"Gain over 1,000 followers a week by using: getem.kronos/followers #abilaFinest #followme"
mbdata,2.01401E+13,KronosQuoth,,,,chatter,negative,A real entrepreneur is somebody who has no safety net underneath them.  #POKRally #HI
mbdata,2.01401E+13,KronosQuoth,,,,chatter,positive,"Whether you think you can or you think you cant, youre right.  #KronosStar #POKRally"
mbdata,2.01401E+13,KronosQuoth,,,,chatter,positive,The starting point of all achievement is desire.  #POKRally #HI
mbdata,2.01401E+13,deals4realz,,,,spam,neutral,Artist ? musician? need more followers ? click here  followme.kronos/artists #abila #artists
mbdata,2.01401E+13,KronosQuoth,,,,chatter,negative,Successful entrepreneurs are givers and not takers of positive energy.  #POKRally #HI
mbdata,2.01401E+13,megaMan,,,,hit_and_run,neutral,im just seeing someone talking to van guys. if there is anyone in the van they are still in there #TAG
mbdata,2.01401E+13,HomelandIlluminations,,,,chatter,neutral,SWAT team appears to have taken command
mbdata,2.01401E+13,KronosQuoth,,,,pok_rally,positive,You measure the size of the accomplishment by the obstacles you had to overcome to reach your goals.  #POKRally #HI
mbdata,2.01401E+13,Clevvah4Evah,,,,chatter,neutral,My hand hurts I think I have carpet tunnel #POK #Rally #Grammar
mbdata,2.01401E+13,skinnyJeans,,,,spam,neutral,I recommend this site #abila dates.kronos/clickhere
mbdata,2.01401E+13,Clevvah4Evah,,,,chatter,negative,Thats bad I have carpool tunnel #POK #Rally #Grammar
mbdata,2.01401E+13,dealsRUs101,,,,spam,neutral,Hi! I advise you to visit this link hottips.kronos/trading #abila
mbdata,2.01401E+13,brain448,,,,fire,neutral,RT @HomelandIlluminations SWAT team appears to have taken command
mbdata,2.01401E+13,henri,,,,fire,neutral,RT @HomelandIlluminations SWAT team appears to have taken command
mbdata,2.01401E+13,KronosQuoth,,,,chatter,positive,There are no traffic jams along the extra mile.  #KronosStar #POKRally
mbdata,2.01401E+13,junkieduck113,,,,spam,neutral,How's your credit rating? Need a boost? fixit.kronos/creditratings #abila #badcredit
mbdata,2.01401E+13,KronosQuoth,,,,chatter,positive,You can't connect the dots looking forward; you can only connect them looking backwards. #POKRally #HI
mbdata,2.01401E+13,aaasTech,,,,chatter,neutral,Meeting at the hospital to support fund raising planning #abila #hospital
mbdata,2.01401E+13,protoGuy,,,,fire,neutral,I see?some swat dudes setting up on the top of a building
mbdata,2.01401E+13,megaMan,,,,fire,positive,thanks for the new follows all!  Im fairly safe here.  Police are working crowd down the street #TAG
mbdata,2.01401E+13,joyousNoise,,,,hit_and_run,positive,please pray for safe release of hostages
mbdata,2.01401E+13,NewsOnlineToday,,,,fire,positive,SWAT team appears to be in command #Abila
mbdata,2.01401E+13,AbilaPoliceDepartment,,,,,,A police office has been injured at the Ithakis incident but is reported in stable condition. #APD
mbdata,2.01401E+13,roger_roger,,,,,,we're all on the floor. we managed to block the back door.
mbdata,2.01401E+13,KronosQuoth,,,,,,The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.  #POKRally #HI
mbdata,2.01401E+13,KronosQuoth,,,,,,You cant fall if you dont climb.  But theres no joy in living your whole life on the ground.  #KronosStar #POKRally
mbdata,2.01401E+13,Clevvah4Evah,,,,,,What number is your PIN number? #POK #Rally #Grammar
mbdata,2.01401E+13,KronosQuoth,,,,,,Change your thoughts and you change your world.  #KronosStar #POKRally
mbdata,2.01401E+13,rrWine,,,,,,RT @HomelandIlluminations SWAT team appears to have taken command
mbdata,2.01401E+13,dtennent,,,,,,RT @HomelandIlluminations SWAT team appears to have taken command
mbdata,2.01401E+13,rnbwBrite,,,,,,RT @FriendsOfKronos APD stop the terrorists before they cut the hostages head off! #POK
mbdata,2.01401E+13,lordWally,,,,,,RT @prettyRain Is anyone going to help us??!!???
mbdata,2.01401E+13,KronosQuoth,,,,,,"Its your place in the world; its your life. Go on and do all you can with it, and make it the life you want to live.  #KronosStar #POKRally"
mbdata,2.01401E+13,KronosQuoth,,,,,,Fortune sides with him who dares.  #POKRally #HI
mbdata,2.01401E+13,Clevvah4Evah,,,,,,What number is your PIN number? #POK #Rally #Grammar
mbdata,2.01401E+13,KronosQuoth,,,,,,The only way to do great work is to love what you do.  #KronosStar #POKRally
mbdata,2.01401E+13,KronosQuoth,,,,,,"We become what we think about most of the time, and that's the strangest secret.  #POKRally #HI"
mbdata,2.01401E+13,carjunkers,,,,,,Easy credit cards! get what you're worth! easycredit.kronos/morecredit #abila #nobanks
mbdata,2.01401E+13,KronosQuoth,,,,,,"In my experience, there is only one motivation, and that is desire. No reasons or principle contain it or stand against it.  #POKRally #HI"
mbdata,2.01401E+13,cminvestments11,,,,,,free iThing contest click here contest.kronos/freeiThing  #abila #iThing
mbdata,2.01401E+13,courage4life,,,,,,RT @HomelandIlluminations SWAT team appears to have taken command
mbdata,2.01401E+13,slamrjamr,,,,,,RT @HomelandIlluminations SWAT team appears to have taken command
mbdata,2.01401E+13,BlueVelvet,,,,,,RT @HomelandIlluminations SWAT team appears to have taken command
mbdata,2.01401E+13,KronosStar,,,,,,An injured firefighter is being pulled from the building. #KronosStar #DancingDolphinFire #AFDHeroes
mbdata,2.01401E+13,AbilaPost,,,,,,injured firefighter is pulled from the flames #AFD #AbilaPost
mbdata,2.01401E+13,dangermice,36.059,24.894,,,,They just put him in an ambulance #hurtfirefighter #abilafire
mbdata,2.01401E+13,martaO,,,,,,#stoodup I'll die #alone n #childless
mbdata,2.01401E+13,pashmina887,,,,,,Anyone want to meet at GelatoGalore? #gelatoRocks
mbdata,2.01401E+13,protoGuy,,,,,,why r cops just sitting around?
mbdata,2.01401E+13,Sara_Nespola,,,,,,the cops are trying to build a perimeter lots of shoving and yelling
mbdata,2.01401E+13,megaMan,,,,,,sending IMs to friends - they hear about the incident  #TAG
mbdata,2.01401E+13,KronosStar,,,,,,APD is evacuating the businesses near the Gelato Galore standoff. #KronosStar
mbdata,2.01401E+13,sofitees,36.059,24.857,,,,#APD is evacuating us #standoff
mbdata,2.01401E+13,KronosQuoth,,,,,,"Successful people do what unsuccessful people are not willing to doDon't wish it were easier, wish you were better.  #POKRally #HI"
mbdata,2.01401E+13,luvMyPants,,,,,,RT @protoGuy I see?some swat dudes setting up on the top of a building
mbdata,2.01401E+13,plasticParts,,,,,,RT @megaMan thanks for the new follows all!  Im fairly safe here.  Police are working crowd down the street #TAG
mbdata,2.01401E+13,KronosQuoth,,,,,,The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.  #POKRally #HI
mbdata,2.01401E+13,KronosQuoth,,,,,,All our dreams can come true if we have the courage to pursue them.  #POKRally #HI
mbdata,2.01401E+13,CentralBulletin,,,,,,injured firefighter rescued from fire #Abila #CentralBulletin
mbdata,2.01401E+13,megaMan,,,,,,@areslittle I've been here since the start #TAG
mbdata,2.01401E+13,AbilaPost,,,,,,#APD evacuating businesses near gelato glaore - please stay clear of the area near the intersection of Alexandrias & Ithakis #AbilaPost
mbdata,2.01401E+13,KronosStar,,,,,,Reports from hospital that APD officer in serious but stable condition. #KronosStar
mbdata,2.01401E+13,panopticon,,,,,,#APD is evacuating people from Carlys coffeee across the street - arent we in the line of fire
mbdata,2.01401E+13,BoraVerissimo,,,,,,They're getting us out of here. Just want to go home
mbdata,2.01401E+13,prettyRain,,,,,,please pray for us
ccdata,2.01401E+13,,,,N/A,,,INCOMPLETE CALL FOR POLICE
mbdata,2.01401E+13,brandonL,,,,,,RT @megaMan im just seeing someone talking to van guys. if there is anyone in the van they are still in there #TAG
mbdata,2.01401E+13,dtennent,,,,,,RT @HomelandIlluminations SWAT team appears to have taken command
mbdata,2.01401E+13,zengardener,,,,,,RT @martaO #stoodup I'll die #alone n #childless
mbdata,2.01401E+13,brain448,,,,,,RT @KronosStar APD is evacuating the businesses near the Gelato Galore standoff. #KronosStar
mbdata,2.01401E+13,KronosQuoth,,,,,,"Whatever the mind of man can conceive and believe, it can achieve.  #KronosStar #POKRally"
mbdata,2.01401E+13,grlPwrz505,,,,,,Hello am i using thsi right #help #abilia
mbdata,2.01401E+13,FriendsOfKronos,,,,,,businesses around gelatogalore being evacuated out of danger from POK terrorists
mbdata,2.01401E+13,megaMan,,,,,,lots of discussion - can't hear most #TAG
mbdata,2.01401E+13,CentralBulletin,,,,,,Police evacuate surrounding businesses #Abila #CentralBulletin
mbdata,2.01401E+13,MarcusDrymiau,,,,,,looking like a police thing is happening outside #gonnabelate
mbdata,2.01401E+13,sofitees,36.059,24.857,,,,i think there's a hostage - why isnt #APD doing more #standoff
mbdata,2.01401E+13,megaMan,,,,,,probably not getting anywhere #TAG
mbdata,2.01401E+13,livin4HigherPower,,,,,,Praying for a peaceful resolution to the standoff #AbilaPrays
mbdata,2.01401E+13,KronosQuoth,,,,,,Only put off until tomorrow what you are willing to die having left undone.  #POKRally #HI
mbdata,2.01401E+13,jaques,,,,,,RT @KronosStar Reports from hospital that APD officer in serious but stable condition. #KronosStar
mbdata,2.01401E+13,KronosQuoth,,,,,,There are two types of people who will tell you that you cannot make a difference in this world. #POKRally #HI
mbdata,2.01401E+13,KronosQuoth,,,,,,You can never cross the ocean until you have the courage to lose sight of the shore.  #KronosStar #POKRally
mbdata,2.01401E+13,protoGuy,,,,,,i guess the swat guys can't see the hostages so they don't want to shoot
mbdata,2.01401E+13,panopticon,,,,,,looks like #APD is moving people from General grocer too
mbdata,2.01401E+13,roger_roger,,,,,,still here
ccdata,2.01401E+13,,,,2439 N. Profitou Ilia Ave,,,SUSPICIOUS SUBJECT/CIRCUMSTANCES-IN PROGRESS
ccdata,2.01401E+13,,,,N. Prevezis St / N. Androutsou St,,,TRAFFIC STOP
mbdata,2.01401E+13,stolkfair,,,,,,RT @megaMan sending IMs to friends - they hear about the incident  #TAG
ccdata,2.01401E+13,,,,1122 N. Maskin St,,,CRIME SCENE INVESTIGATION REQUEST-LOCATION/DWELLING OF INTEREST
mbdata,2.01401E+13,SiaradSea,,,,,,getting out!
mbdata,2.01401E+13,KronosStar,,,,,,Paramedics are taking the firefighter to Abila General Hospital. #KronosStar #DancingDolphinFire #AFDHeroes
mbdata,2.01401E+13,AbilaPost,,,,,,paramedics have taken injured firefighter to Abila Hospital?#AFD #AbilaPost
mbdata,2.01401E+13,HomelandIlluminations,,,,,,Report that a fire fighter has been injured. #HI
mbdata,2.01401E+13,GreyCatCollectibles,,,,,,Need rest - the stress is killing me. My pictures... grandma's recipes... pictures of Timmy... my harpsichord
mbdata,2.01401E+13,redisrad,,,,,,wow - welcome to Abila. Why did i move here again? #missingtethys
mbdata,2.01401E+13,OnlytheTruth,,,,,,Score! Fire 1 Firemen 0! #gooooooal
mbdata,2.01401E+13,footfingers,36.054,24.902,,,,do you trust your government? #POK
mbdata,2.01401E+13,FriendsOfKronos,,,,,,wait! POK terrorists with hostages these are the kidnapped people from gastech!
mbdata,2.01401E+13,protoGuy,,,,,,cops are getting people out of general grocer
mbdata,2.01401E+13,megaMan,,,,,,starting to evacuate stores - think the gelato folk are stuck #TAG
mbdata,2.01401E+13,KronosStar,,,,,,Police have requested that the public stay away from the hostage scene near Alexandrias & Ithakis. #KronosStar
mbdata,2.01401E+13,InternationalNews,,,,,,Abila police office in stable condition after being wounded at the shooting. #abila #intNews
mbdata,2.01401E+13,AbilaPoliceDepartment,,,,,,The situation near Gelato Galore is believed to be a hostage situation. We are working to resolve it as quickly and safely as possible. #APD
mbdata,2.01401E+13,pinky,,,,,,RT @CentralBulletin Police evacuate surrounding businesses #Abila #CentralBulletin
mbdata,2.01401E+13,henri,,,,,,RT @CentralBulletin Police evacuate surrounding businesses #Abila #CentralBulletin
mbdata,2.01401E+13,wireHead1122,,,,,,RT @CentralBulletin Police evacuate surrounding businesses #Abila #CentralBulletin
mbdata,2.01401E+13,KronosQuoth,,,,,,"Waste not, want not  #KronosStar #POKRally"
mbdata,2.01401E+13,KronosQuoth,,,,,,Do one thing every day that scares you.  #POKRally #HI
mbdata,2.01401E+13,rockinHW,,,,,,make $630-$8062 a month online fastjobs.kronos/tricks #abila #workAtHome
mbdata,2.01401E+13,courage4life,,,,,,RT @KronosStar Reports from hospital that APD officer in serious but stable condition. #KronosStar
mbdata,2.01401E+13,carjunkers,,,,,,I got cheap medication online without a prescription meds.kronos/cheapmeds #kronos #abila
mbdata,2.01401E+13,KronosQuoth,,,,,,I am not a product of my circumstances. I am a product of my decisions.  #KronosStar #POKRally
mbdata,2.01401E+13,KronosQuoth,,,,,,"Whenever you find yourself on the side of the majority, it is time to pause and reflect.  #POKRally #HI"
mbdata,2.01401E+13,CentralBulletin,,,,,,paramedics take injured firefighter to hospital #Abila #CentralBulletin
mbdata,2.01401E+13,FriendsOfKronos,,,,,,they must have a van full of terrified people #POK #hostages
mbdata,2.01401E+13,megaMan,,,,,,"@ben yeah its a """"hostage situation"""" #TAG"""""
mbdata,2.01401E+13,prettyRain,,,,,,someone tell me whats gonig on out there PLEASE
ccdata,2.01401E+13,,,,Rist Way / Niovis St,,,TRAFFIC STOP
mbdata,2.01401E+13,gardener4958,,,,,,RT @AbilaPost paramedics have taken injured firefighter to Abila Hospital?#AFD #AbilaPost
mbdata,2.01401E+13,zengardener,,,,,,RT @AbilaPost paramedics have taken injured firefighter to Abila Hospital?#AFD #AbilaPost
mbdata,2.01401E+13,vonneka,,,,,,RT @CentralBulletin Police evacuate surrounding businesses #Abila #CentralBulletin
mbdata,2.01401E+13,KronosQuoth,,,,,,"Take up one idea. Make that one idea your life - think of it, dream of it, live on that idea.#POKRally #HI"
mbdata,2.01401E+13,KronosQuoth,,,,,,Don't let the fear of losing be greater than the excitement of winning.  #POKRally #HI
mbdata,2.01401E+13,KronosQuoth,,,,,,Blessed are those who can give without remembering and take without forgetting.  #POKRally #HI
mbdata,2.01401E+13,KronosQuoth,,,,,,Life shrinks or expands in proportion to ones courage.  #KronosStar #POKRally
mbdata,2.01401E+13,dolls4sale,,,,,,RT @KronosStar Reports from hospital that APD officer in serious but stable condition. #KronosStar
mbdata,2.01401E+13,brandonL,,,,,,RT @KronosStar Reports from hospital that APD officer in serious but stable condition. #KronosStar
mbdata,2.01401E+13,vonneka,,,,,,RT @KronosStar Reports from hospital that APD officer in serious but stable condition. #KronosStar
mbdata,2.01401E+13,dragonRider1,,,,,,RT @sofitees #APD is evacuating us #standoff
mbdata,2.01401E+13,jaques,,,,,,RT @CentralBulletin paramedics take injured firefighter to hospital #Abila #CentralBulletin
mbdata,2.01401E+13,cheapgoods998,,,,,,He who hesitates is lost! #KronosStar #POKRally
mbdata,2.01401E+13,KronosQuoth,,,,,,"You who are without sin, cast the first stone  #KronosStar #POKRally"
mbdata,2.01401E+13,Clevvah4Evah,,,,,,Serving filay minion tonite #POK #Rally #Grammar
mbdata,2.01401E+13,KronosQuoth,,,,,,Change your thoughts and you change your world.  #KronosStar #POKRally
mbdata,2.01401E+13,stolkfair,,,,,,RT @AbilaPost paramedics have taken injured firefighter to Abila Hospital?#AFD #AbilaPost
mbdata,2.01401E+13,blueSunshine,,,,,,RT @KronosStar Police have requested that the public stay away from the hostage scene near Alexandrias & Ithakis. #KronosStar
mbdata,2.01401E+13,stolkfair,,,,,,RT @megaMan lots of discussion - can't hear most #TAG
mbdata,2.01401E+13,soup4u,,,,,,RT @CentralBulletin Police evacuate surrounding businesses #Abila #CentralBulletin
mbdata,2.01401E+13,rrWine,,,,,,RT @CentralBulletin Police evacuate surrounding businesses #Abila #CentralBulletin
mbdata,2.01401E+13,KronosQuoth,,,,,,"We become what we think about most of the time, and that's the strangest secret.  #POKRally #HI"
mbdata,2.01401E+13,KronosQuoth,,,,,,Too many of us are not living our dreams because we are living our fears.  #KronosStar #POKRally
mbdata,2.01401E+13,kedits,,,,,,Hi! I advise you to visit this link hottips.kronos/trading #abila
mbdata,2.01401E+13,lindyT,,,,,,RT @KronosStar Reports from hospital that APD officer in serious but stable condition. #KronosStar
mbdata,2.01401E+13,KronosQuoth,,,,,,"To live a creative life, we must lose our fear of being wrong.  #POKRally #HI"
mbdata,2.01401E+13,Clevvah4Evah,,,,,,I literally felt like blowing them up #POK #Rally #Grammar
mbdata,2.01401E+13,KronosQuoth,,,,,,"We must believe that we are gifted for something, and that this thing, at whatever cost, must be attained.  #KronosStar #POKRally"
mbdata,2.01401E+13,KronosQuoth,,,,,,"If you can dream it, you can achieve it.  #KronosStar #POKRally"
mbdata,2.01401E+13,anaregents,,,,,,last song by Viktor-E. what a nite!
mbdata,2.01401E+13,FriendsOfKronos,,,,,,why talk? take em down! #POK
mbdata,2.01401E+13,hennyhenhendrix,36.057,24.892,,,,police just knocked on my door about the car!
mbdata,2.01401E+13,protoGuy,,,,,,swat guy is talking to van dude trying to get him to give up
mbdata,2.01401E+13,Sara_Nespola,,,,,,I think i see people coming out the back of the General Grocer
mbdata,2.01401E+13,megaMan,,,,,,groups of people running out of stores #TAG
mbdata,2.01401E+13,AbilaPoliceDepartment,,,,,,We're asking the public to stay away from the corner of Alexandrias & Ithakis while we resolve this emerging issue
mbdata,2.01401E+13,MarcusDrymiau,,,,,,aw dang its a hostage thing #definitelygonnabelate
mbdata,2.01401E+13,roger_roger,,,,,,still here
mbdata,2.01401E+13,sofitees,36.059,24.857,,,,mom im ok cops r here dont worry im across the street but safe
ccdata,2.01401E+13,,,,N. Dimitriou St / N. Madeg St,,,NARCOTIC ACTIVITY-REPORT
mbdata,2.01401E+13,soup4u,,,,,,RT @CentralBulletin paramedics take injured firefighter to hospital #Abila #CentralBulletin
mbdata,2.01401E+13,joyce101,,,,,,RT @CentralBulletin paramedics take injured firefighter to hospital #Abila #CentralBulletin
mbdata,2.01401E+13,rrWine,,,,,,RT @CentralBulletin paramedics take injured firefighter to hospital #Abila #CentralBulletin
mbdata,2.01401E+13,gardener4958,,,,,,RT @AbilaPost paramedics have taken injured firefighter to Abila Hospital?#AFD #AbilaPost
mbdata,2.01401E+13,stolkfair,,,,,,RT @AbilaPost paramedics have taken injured firefighter to Abila Hospital?#AFD #AbilaPost
mbdata,2.01401E+13,brain448,,,,,,RT @AbilaPost paramedics have taken injured firefighter to Abila Hospital?#AFD #AbilaPost
mbdata,2.01401E+13,pinky,,,,,,RT @AbilaPost paramedics have taken injured firefighter to Abila Hospital?#AFD #AbilaPost
mbdata,2.01401E+13,muppiesRock,,,,,,RT @KronosStar Police have requested that the public stay away from the hostage scene near Alexandrias & Ithakis. #KronosStar
mbdata,2.01401E+13,wiseWords,,,,,,RT @KronosStar Police have requested that the public stay away from the hostage scene near Alexandrias & Ithakis. #KronosStar
mbdata,2.01401E+13,siliconKing,,,,,,RT @CentralBulletin Police evacuate surrounding businesses #Abila #CentralBulletin
mbdata,2.01401E+13,vetsRock,,,,,,RT @CentralBulletin Police evacuate surrounding businesses #Abila #CentralBulletin
mbdata,2.01401E+13,NewsOnlineToday,,,,,,Injured firefighter in Dancing Dolphin fire in Abila. #NewsOnline
mbdata,2.01401E+13,megaMan,,,,,,Carly's being evacuated  #TAG
mbdata,2.01401E+13,AbilaPost,,,,,,negotiations have begun between shooter and #APD #AbilaPost
mbdata,2.01401E+13,HomelandIlluminations,,,,,,APD is negotiating with gunmen for peaceful solution.
mbdata,2.01401E+13,panopticon,,,,,,this guy in the van is craazy why talk to that cant talk to crazy
mbdata,2.01401E+13,prettyRain,,,,,,i think i'm sick
mbdata,2.01401E+13,FriendsOfKronos,,,,,,shooting cops is terrorism dont negotiate with terrorists #POK #terror
mbdata,2.01401E+13,megaMan,,,,,,People trying to leave in their cars - police say no  #TAG
